,PropertyName,ShortDesc,StationMiles,Description,AddedOrReduced,Agent,ContactNumber,PropertyValue
3,"Dacre Place, London",Land for sale,4.36 miles from station,"OPEN DAY 2ND DECEMBER 2020 12 NOON ***NEW INSTRUCTION FREEHOLD FOR SALE OIEO £600,000.00 ***UNIQUE RARE TO MARKET*** DEVELOPMENT SITE IN BLACKHEATH VILLAGE LEWISHAM BORDER Old Coach-house with Yard and excellent access to be redeveloped with full planning for exclusive 4 bedroom modern ...",,"Marketed by Harpers & Co, Bexley",01322 535024,"£600,000"
4,"Swievelands Road, Biggin Hill",Land for sale,6.50 miles from station,"Development Opportunity - Development Opportunity in Biggin Hill Valley, The current site is currently occupied by a detached property.",,"Marketed by haart, Biggin Hill",01959 465006,"£475,000"
5,"Homefield Rise, Orpington",Land for sale,4.00 miles from station,"Available is this new two bedroom property in Brunswick House close to Orpington high street, BR6. This two bedroom apartment on the 5th floor of Brunswick House comes with a generous size open plan living/kitchen area with hard wood flooring, west facing balcony, two large double bedrooms both ...",,"Marketed by Doorsteps.co.uk, National",01298 445019,"£410,000"
6,"Garratt Lane, London, SW17 0ND",Land for sale,8.34 miles from station,An opportunity to acquire a suburb building plot with planning permission for a three/ four bedroom town house. Please make all enquiries to Hunters Estate Agents for further details.,,"Marketed by Hunters, Chislehurst",020 8012 6871,"£400,000"
7,"Campshill Road, Lewisham, SE13",Land for sale,4.00 miles from station,"Development Opportunity Presenting this fantastic development opportunity build two brand new self contained one bedroom apartments subject to planning permission being granted, in the heart of Lewisham, SE13.",,"Marketed by Kallars, London",020 8012 6994,"£335,000"
8,Kidderminster Place,Land for sale,5.46 miles from station,Unique opportunity for a self-build owner occupier or developer. Planning granted for a 2 bedroom house of 98m2 (1054 sq ft). Contemporary design. Quiet secluded position yet only metres from London Road. Freehold for sale. Site area 142m2 (1527 sq ft). West Croydon Station 0.5 miles.,,"Marketed by Andrew Pennell, London",020 8012 0367,"£300,000"
9,"Boardwalk Place, London, E14",2 bedroom off-plan for sale,7.42 miles from station,"Guide Price £240,000-£260,000 Purlebricks welcomes an expansive 2 bedroom house boat standing at a humongous 990sqft with the most amazing entertaining space. If you desire far more than a standard cookie-cutter lifestyle for your money, welcome to Elspeeth Mabel. She’s like a superyacht but ch...",,"Marketed by Purplebricks, covering London",0121 396 0233,"£240,000"
10,"Land, in the London Borough of Bromley, Downe, Orpington, BR6 7GZ",Land for sale,3.76 miles from station,"Guide Price £240,000
For sale by online auction on 01/12/2020 12:00. Approximately 2.54 Acres of land. With potential for residential development.",,"Marketed by Town & Country Property Auctions East Midlands, South East England & South East Yorkshire, South & East Yorks & East Midlands",0115 798 0046,"£240,000"
11,"Deptford High Street, London, SE8",Land for sale,5.88 miles from station,Planning permission has recently been granted to provide 1 one bedroom self-contained flat with the installation of a roof light in the front roof slope and new glazing to terrace at the front.,,"Marketed by Kallars, London",020 8012 6994,POA
12,"Meadvale Road, Croydon",Land for sale,4.10 miles from station,PLANNING PERMISSION GRANTED FOR the erection of a one/two bedroom detached bungalow with a mezzanine floor which potentially could be utilised as the second bedroom sttp. Situated in a popular central location within easy reach of East Croydon station and amenities. Full details available on requ...,,"Marketed by Benson & Partners, Croydon",020 8012 2174,"£185,000"
13,"Balfour Road, South Norwood",Land for sale,3.87 miles from station,"** WE CAN NOW VIEW** PLOT OF LAND WITH PLANNING PERMISSION. Situated just around the corner from Norwood Junction Overground Station, The Country Park, Sainsburys Local and South Norwood High Street. This piece of land comes with planning for a Modern 2 Bedroom Detached property. This offers a gr...",,"Marketed by Benson & Partners, South Norwood",020 8012 2176,"£180,000"
14,"Waverley Crescent, Fronting Durham Rise, Plumstead, SE18",Land for sale,6.50 miles from station,"A unique plot of land situated on Durham Rise with planning permission for the construction of a one bedroom, two storey residential dwelling. Conveniently located for bus routes and mainline station. *DEVELOPMENT OPPORTUNITY* *PLANNING PERMISSION GRANTED* *EASY ACCESS* *NEARBY PLUMSTE...",,"Marketed by Robinson Jackson, Plumstead",020 8012 1537,"£175,000"
15,"Jutland Road, London, SE6",Land for sale,3.39 miles from station,"Development Opportunity Rarely available at this price point in SE6, and of interest to contractors, self-builders and developers, a larger than average one bedroom detached two storey house (including basement).",,"Marketed by Kallars, London",020 8012 6994,"£155,000"
16,"Kettering Street, LONDON",Land for sale,7.16 miles from station,AUCTION SALE 16 December 2020 - For more information and legal documents visit our website,,"Marketed by Barnard Marcus, Hammersmith Auctions",020 8012 2068,"£50,000"
17,"Layhams Road, Keston, BR2",Plot for sale,4.26 miles from station,"Lot Number: 93Sell by Secure now method. For legal pack and other information about this plot, please, visit: just-sold dot co dot UK by searching Lot number 93 Location: Layhams Road, Keston, BR2 6ARLayhams Road is just a miles away from to West Wickham, Bromley and this particular plot is aroun...",,"Marketed by 99home.co.uk, Covering Nationwide",020 3858 2623,"£18,000"
18,"Land rear of 23 Bastion Road, Abbey Wood, London, SE2 0RD",Plot for sale,6.95 miles from station,"A rectangular shaped garden site of approximately 480 sq ft with rear site access and planning permission for the construction of an outbuilding, well located close to shopping facilities of Plumstead High Street and recreational amenities of Winns Common. Vacant.",,"Marketed by Savills, National Auctions",020 8012 3054,"£10,000"
19,"Land adjacent to 80 Upper Elmers End Road, Beckenham, Greater London, BR3",Land for sale,2.63 miles from station,"Site Area approximately 190 sq m (2,045 sq ft), Possible Development Potential, subject to consents, Local shops within walking distance, Elmers End rail station is approximately 0.8 miles to the north west, South Norwood Country Park is located to the west",,"Marketed by Allsop, Auction",020 8012 1518,"£10,000"
20,"Ankerdine Crescent, London",Land for sale,5.56 miles from station,Auction Sale The Property is available for sale under auction terms and conditions. Contracts are to be exchanged on the fall of the hammer and a 10% deposit will be taken from the highest bidder. This deposit will contribute towards the purchase price. In addition the buyer will be oblig...,,"Marketed by NALC Auctions, Newark",01636 558200,"£10,000"
21,"Blackness Lane, Keston",Land for sale,3.76 miles from station,"Located in the village of Keston, within the London borough of Bromley and the historic county of Kent. This is a fantastic opportunity to own a plot of land within the stunning Kentish countryside. This plot of land could suit a number of uses subject to planning consents. The site is approximat...",,"Marketed by Wilsons Auctions Ltd, Dalry",01294 697024,"£6,000"
22,"Blackness Lane, Keston",Land for sale,3.76 miles from station,"Located in the village of Keston, within the London borough of Bromley and the historic county of Kent. This is a fantastic opportunity to own a plot of land within the stunning Kentish countryside. This plot of land could suit a number of uses subject to planning consents. The site is approximat...",,"Marketed by Wilsons Auctions Ltd, Dalry",01294 697024,"£6,000"
23,"Blackness Lane, Keston",Land for sale,3.76 miles from station,"Located in the village of Keston, within the London borough of Bromley and the historic county of Kent. This is a fantastic opportunity to own a plot of land within the stunning Kentish countryside. This plot of land could suit a number of uses subject to planning consents. The site is approximat...",,"Marketed by Wilsons Auctions Ltd, Dalry",01294 697024,"£6,000"
24,,Property,nan,,,,,
0,"St. Clere Hill Road, TN15",Land for sale,11.91 miles from station,"Acting as Vendor's Main Agent. Rare opportunity to purchase your own plot of freehold land with gated road access in the picturesque village of West Kingsdown. Close to Brands Hatch and the well known St Clere estate, this land is now available for the first time in sizeable individual parcel.",,"Marketed by Exclusive Estates & Auctioneers, London",020 8432 7330,"£25,000"
1,"Southern Road, London, E13",Land for sale,9.04 miles from station,"Planning granted New build of 7 houses and 3 flats No social housing Secure gates ""mews style"" development Upton Park Station 12-minute walk Canary Wharf 26 mins on tube Site area 1,042m2",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,750,000"
2,"Gander Green Lane, Sutton",Land for sale,9.94 miles from station,Vacant Freehold site with planning permission granted for the erection of 4 x 3-bedroom semi-detached houses and conversion of the former public house to form 3 x 2 bedroom & 1 x 3 bedroom flats.,,"Marketed by Kings Estates, Guildford",01482 750027,"£1,700,000"
3,"Land at Rigeley Mews, Kensal Green, London, NW10",Land for sale,14.21 miles from station,"Site Area approximatley 0.093 Hectares (0.231 Acres), Planning Permission granted for Demolition of Light Industrial Unit and Construction of Four Terrace Houses, Providing One x 2 Bedroom House, One x 3 Bedroom House and Two x 4 Bedroom Houses, totaling 568 sq m (6,113 sq ft), Each House will be...",,"Marketed by Allsop, Auction",020 8012 1518,"£1,500,000"
4,"Woldingham Road, Woldingham, CR3 7LR",Land for sale,7.98 miles from station,"Sought after Location in Woldingham, 4 Bed Detached House, With 1 Acre of Land With Planning Approval For 2 Bungalows",,"Marketed by Power Bespoke HQ, Reigate",01737 904023,"£1,400,000"
5,"Albert Road, London, E16",Land for sale,7.20 miles from station,"Planning granted, Freehold site, Opposite Royal Victoria Gardens, Thameside walks, 11-minute walk to DLR (King George V Station), 9 stops on DLR to Canary Wharf",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,400,000"
6,"Shirley Road, Croydon, Surrey, CR0",Land for sale,3.68 miles from station,"Residential development with planning consent for 9 flats 3 x three bedroom, 5 x two bedroom, 1 x one bedroom Elmers End Station and East Croydon Station both 2.2 miles (3km) distant",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,400,000"
7,"East Acton Lane, London, W3 7ER",Land for sale,14.12 miles from station,"Churchill Estate Agents are proud to present this piece of land for sale, which has a total of 9278 sqft and is enclosed by fencing. This land is located at the end of East Acton Lane and can also be accessed from Bowes Road. Situated within a 10 minute walk from East Acton station (Cen...",,"Marketed by Churchill Estate Agents, Acton",020 8012 5512,"£1,350,000"
8,"176 Wood Street, Walthamstow, London E17 3HX",Land for sale,13.15 miles from station,"Part 1, part 3 storey building comprising 2 commercial units at ground floor and 2 apartments on upper floors.",,"Marketed by Savills , Margaret Street- Development",020 8012 5344,"£1,250,000"
9,"Duppas Hill Terrace, South Croydon, Surrey, CR0",Land for sale,5.82 miles from station,"New build flat opportunity Planning granted for 9 flats Planning conditions 3, 4, 10, 11 approved Site area 653sqm (7026 sq ft) Nearest station Waddon Sale includes adjacent plot of 330m offering further potential (STP)",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,250,000"
10,"Springdale Mews, Newington Green, London, N16",Land for sale,11.58 miles from station,An exciting development opportunity with planning permission granted for a 2 bedroom mews house and a 3 bedroom mews house situated in an excellent Newington Green location.,,"Marketed by Foxtons, New Homes North East",020 8012 6767,"£1,200,000"
11,"JULIAN ROAD, CHELSFIELD PARK, CHELSFIELD",Land for sale,4.89 miles from station,"*** PLANNING PERMISSION GRANTED *** Building plot measuring just under half an acre in the highly regarded Chelsfield Park Estate, on the corner of Julian Road and Worlds End Lane. Permission is approved to demolish the existing bungalow and construct a two storey five bedroom dwelling, measu...",,"Marketed by Langford Rae Chelsfield, Langford Rae Chelsfield",01689 499720,"£1,200,000"
12,South Ash Road,Land for sale,12.67 miles from station,"Freehold site. Planning consent for 3 x 4 bedroom detached houses. All houses 143m2 (1543 sq ft). Semi-rural location within the green belt. 1.04 acre site (4200m2). Longfield Station 3.7 miles (6km). Easy access to A20, M20, M25.",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,200,000"
13,"Edward Road, Bromley, BR1",Land for sale,1.07 miles from station,"A premium plot of land in the most desirable location of Edward Road, with planning permission granted to build a Detached two storey 6 bedroom House with accommodation in the roof space, integral Garage and parking.",,"Marketed by Foxtons, New Homes Greater South London",020 3858 2686,"£1,200,000"
14,"Edward Road, Bromley",Land for sale,1.09 miles from station,"PREMIUM land plot of c.0.278 acres (approx. 200' deep x 62' wide) in the most desirable location of EDWARD ROAD, Sundridge Park with PLANNING PERMISSION GRANTED for a substantial house.",,"Marketed by jdm, Chislehurst",020 8012 2398,"£1,200,000"
15,"Ditton Hill Road, Long Ditton, Surbiton, Surrey, KT6",Land for sale,14.51 miles from station,"A 5,316 sq.ft plot located in the sought after area of Long Ditton.",,"Marketed by Hamptons International Sales, Surbiton",020 8012 1740,"£1,199,950"
16,"Thornhill Road, Croydon",Land for sale,5.17 miles from station,"DEVELOPMENT POTENTIAL PLUS EXISTING HMO!!!!! Currently producing an income per annum of £46,200! However there is planning for 3x 2 bedroom flats, 1 x bedroom flat and a large studio!!! No forward chain. Planning application number:- 18/00411/FUL. be quick as this is not far from the propose...",,"Marketed by Benson & Partners, Croydon",020 8012 2174,"£1,100,000"
17,"Firs Road, Kenley",Land for sale,7.76 miles from station,POTENTIAL! We have been instructed to sell a large bungalow in a prime road and position. The plot measures 170'0 x 70'0 in size and we feel that an incoming purchaser may have the potential to erect 7 to 9 apartments or similar on the site. There is no planning permission so the incoming purchas...,,"Marketed by Benson & Partners, Croydon",020 8012 2174,"£1,000,000"
18,"Springbank Road, London, SE13",Land for sale,3.65 miles from station,"Planning granted New build of 6 flats, all with balconies Two B1 office units at 238.4 + 35 m2 300 metres from Hither Green Station Site area 205m2 (2205 sq ft)",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,000,000"
19,"Keybridge Lofts, 80 South Lambeth Road, London, SW8",Plot for sale,8.33 miles from station,"In total, Keybridge offers 595 new homes across six individual buildings, providing luxurious living in the heart of Vauxhall London. Located in Zone 1, just a 6-minute walk from Vauxhall station.",,"Marketed by Chestertons Estate Agents , Chestertons New Homes",020 8012 6284,"£950,000"
20,"Beech Road, Reigate, Surrey, RH2",Plot for sale,14.17 miles from station,A single building plot with Full Planning Permission fronting onto arguably one of Reigate's most desirable roads with an attractive and mature established garden.,,"Marketed by Savills, Reigate",01737 904052,"£900,000"
21,"Land to the Rear, 90 Lordship Road, London, N16 0QP",Land for sale,12.19 miles from station,"To be sold at an online auction. For further information, viewing times and legal documentation, please visit bidx1.com.",,"Marketed by BidX1, London",020 3858 2752,"£900,000"
22,"Land to rear of Lordship Road, Stoke Newington, London, N16",Land for sale,12.14 miles from station,"An exciting development opportunity of 9 apartments with a GDV £5,865,000 (subject to planning approval) situated in an excellent Stoke Newington location.",,"Marketed by Foxtons Auction , Covering London",020 8012 0879,"£900,000"
23,"Woodland Way, Kingswood",Land for sale,12.76 miles from station,An opportunity to acquire one of two plots with consent for a substantial new house in an exclusive Kingswood Warren location. The site of around half an acre is situated at the end of a private close. Please enquire for further details.,,"Marketed by Richard Saunders and Company, Kingswood",01737 904074,"£895,000"
24,"Woodland Way, Kingswood",Land for sale,12.76 miles from station,An opportunity to acquire one of two plots with consent for a substantial new house in an exclusive Kingswood Warren location. The site of around half an acre is situated at the end of a private close. Please enquire for further details.,,"Marketed by Richard Saunders and Company, Kingswood",01737 904074,"£895,000"
0,"Hever Road, TN8",Land for sale,14.79 miles from station,"A rare opportunity to acquire parcels of grassland of approximately 0.4 acres, with road frontage, approximately 1.5 miles from Edenbridge and 1 mile from Hever",,"Marketed by Exclusive Estates & Auctioneers, London",020 8432 7330,"£10,000"
1,"Lower Ham Road, Kingston Upon Thames",Land for sale,14.11 miles from station,"Plot for Sale. Stack & Bonner are delighted to offer a very rare and exciting opportunity to build a brand new and unique riverside home in one of North Kingston's premier residential roads within walking distance of the town centre, Kingston train station and Canbury Gardens. This river fron...",,"Marketed by Stack & Bonner, Kingston Upon Thames",020 8012 5264,"£1,900,000"
2,"Woodland Way, Kingswood, Tadworth",Plot for sale,12.75 miles from station,"A rare opportunity to purchase this fabulous plot with planning permission for two new luxury homes. The accommodation approved for both houses consists of two reception rooms, study, open-plan kitchen/breakfast/family room, utility room, master bedroom with lounge area, dressing room and ensuite...",,"Marketed by Fine & Country, Kingswood",01737 904051,"£1,900,000"
3,"Woodland Way, Kingswood",Land for sale,12.76 miles from station,"An excellent development opportunity. Situated in a private location within the exclusive Kingswood Warren, this site of some 1.2 acres is available with the benefit of full planning consent for two substantial detached houses. Unconditional offers are invited.",,"Marketed by Richard Saunders and Company, Kingswood",01737 904074,"£1,900,000"
4,"Waldo Works, Waldo Road, London, NW10",Plot for sale,14.10 miles from station,DEVELOPMENT OPPORTUNITY: A substantial warehouse located moments from Kensal Green benefitting from approved planning permission for three unique residential apartments,,"Marketed by Marsh & Parsons, North Kensington",020 8012 4066,"£1,800,000"
5,"29 Russell Hill, Purley, Surrey, CR8",Land for sale,7.29 miles from station,Rare Conversion OpportunitySubstantial Period PropertyLocated in Prime Residential StreetPurley Station 0.8 miles (14-19 minute walk)PLANNING GRANTED FOR 9 FLATS:5 x two bedroom4 x one bedroomFreehold for sale - £1.8m (offers in excess of),,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,800,000"
6,"Herbert Road, Hornchurch, RM11",Land for sale,14.70 miles from station,"• CASH BUYERS ONLY • SITUATED ON A PLOT MEASURING APPROXIMATELY 0.5 ACRES • PLOT SIZE 90' X 300' MAX. • PLANNING PERMISSION APPROVED FOR A BRAND NEW DWELLING IN EXCESS OF 12,000 SQ. FT. • PLANNING NO. P.1683.14 • LOCATED ON THIS PREMIER TURN...",,"Marketed by Balgores, Hornchurch",01708 923047,POA
7,"Southern Road, London, E13",Land for sale,9.04 miles from station,"Planning granted New build of 7 houses and 3 flats No social housing Secure gates ""mews style"" development Upton Park Station 12-minute walk Canary Wharf 26 mins on tube Site area 1,042m2",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,750,000"
8,"Gander Green Lane, Sutton",Land for sale,9.94 miles from station,Vacant Freehold site with planning permission granted for the erection of 4 x 3-bedroom semi-detached houses and conversion of the former public house to form 3 x 2 bedroom & 1 x 3 bedroom flats.,,"Marketed by Kings Estates, Guildford",01482 750027,"£1,700,000"
9,"Ashurst Road, TN3",Land for sale,19.86 miles from station,"A range of agricultural buildings, 154.28 acres of arable land, 40.15 acres of permanent pasture and 9.37 acres of woodland. In all about 206.41 acres.",,"Marketed by BTF Partnership , Heathfield",01435 688016,"£1,500,000"
10,"Land at Rigeley Mews, Kensal Green, London, NW10",Land for sale,14.21 miles from station,"Site Area approximatley 0.093 Hectares (0.231 Acres), Planning Permission granted for Demolition of Light Industrial Unit and Construction of Four Terrace Houses, Providing One x 2 Bedroom House, One x 3 Bedroom House and Two x 4 Bedroom Houses, totaling 568 sq m (6,113 sq ft), Each House will be...",,"Marketed by Allsop, Auction",020 8012 1518,"£1,500,000"
11,"East Barnet Road, East Barnet, Hertfordshire",Land for sale,18.91 miles from station,"* Development Opportunity * A rare opportunity to acquire an existing shop premises with a three bedroom duplex apartment above, and a large warehouse to the rear. The entire property has scope to be developed to apartments, subject to planning permission. The property is located on a small para...",,"Marketed by Statons New Homes Showcase, Barnet",020 3858 2563,"£1,500,000"
12,"Woldingham Road, Woldingham, CR3 7LR",Land for sale,7.98 miles from station,"Sought after Location in Woldingham, 4 Bed Detached House, With 1 Acre of Land With Planning Approval For 2 Bungalows",,"Marketed by Power Bespoke HQ, Reigate",01737 904023,"£1,400,000"
13,"Albert Road, London, E16",Land for sale,7.20 miles from station,"Planning granted, Freehold site, Opposite Royal Victoria Gardens, Thameside walks, 11-minute walk to DLR (King George V Station), 9 stops on DLR to Canary Wharf",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,400,000"
14,"Marchwood Crescent, W5",Land for sale,16.29 miles from station,"Currently a three bedroom semi-detached home, this building plot has planning permission for a 4755 sq ft, executive style, 6 bedroom, four bathroom home that could be styled and enhance to suit your needs. The plans brought to life would create a unique, one of a kind home in a central Ealing l...",,"Marketed by Go View London, Ealing",020 3858 2567,"£1,400,000"
15,"Shirley Road, Croydon, Surrey, CR0",Land for sale,3.68 miles from station,"Residential development with planning consent for 9 flats 3 x three bedroom, 5 x two bedroom, 1 x one bedroom Elmers End Station and East Croydon Station both 2.2 miles (3km) distant",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,400,000"
16,"East Acton Lane, London, W3 7ER",Land for sale,14.12 miles from station,"Churchill Estate Agents are proud to present this piece of land for sale, which has a total of 9278 sqft and is enclosed by fencing. This land is located at the end of East Acton Lane and can also be accessed from Bowes Road. Situated within a 10 minute walk from East Acton station (Cen...",,"Marketed by Churchill Estate Agents, Acton",020 8012 5512,"£1,350,000"
17,"Tycehurst Hill, Loughton, Essex, IG10",Plot for sale,17.22 miles from station,***** PLOT FOR SALE IN ONE OF LOUGHTON'S SOUGHT AFTER ROADS *****WITH AMAZING PLANNING PERMISSION TO BUILD YOUR OWN HOME. THE ATTACHED PLANS INDICATE THE PLANNING THAT HAS ALREADY BEEN PASSED. FOR FURTHER INFORMATION PLEASE SEE PLANNING APPLICATION NO- EPF/1008/16 PLEASE CONTACT JOHN THOMA BESPE,,"Marketed by John Thoma Bespoke Estate Agency, Chigwell Branch",020 8340 8833,"£1,295,000"
18,"176 Wood Street, Walthamstow, London E17 3HX",Land for sale,13.15 miles from station,"Part 1, part 3 storey building comprising 2 commercial units at ground floor and 2 apartments on upper floors.",,"Marketed by Savills , Margaret Street- Development",020 8012 5344,"£1,250,000"
19,"Duppas Hill Terrace, South Croydon, Surrey, CR0",Land for sale,5.82 miles from station,"New build flat opportunity Planning granted for 9 flats Planning conditions 3, 4, 10, 11 approved Site area 653sqm (7026 sq ft) Nearest station Waddon Sale includes adjacent plot of 330m offering further potential (STP)",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,250,000"
20,"Clifford Road, Barnet, Hertfordshire",Land for sale,19.72 miles from station,DETACHED CHALET BUNGALOW IN NEED OF REFURBISHMENT WITH POTENTIAL FOR 2 OR MORE HOUSES (OR BLOCK OF FLATS) SUBJECT TO NECESSARY CONSENTS for further details please copy and paste the following link into your browser:- commercial pr...,,"Marketed by Jeremy Leaf & Co, Residential Development",020 8012 7480,"£1,200,000"
21,"Springdale Mews, Newington Green, London, N16",Land for sale,11.58 miles from station,An exciting development opportunity with planning permission granted for a 2 bedroom mews house and a 3 bedroom mews house situated in an excellent Newington Green location.,,"Marketed by Foxtons, New Homes North East",020 8012 6767,"£1,200,000"
22,"JULIAN ROAD, CHELSFIELD PARK, CHELSFIELD",Land for sale,4.89 miles from station,"*** PLANNING PERMISSION GRANTED *** Building plot measuring just under half an acre in the highly regarded Chelsfield Park Estate, on the corner of Julian Road and Worlds End Lane. Permission is approved to demolish the existing bungalow and construct a two storey five bedroom dwelling, measu...",,"Marketed by Langford Rae Chelsfield, Langford Rae Chelsfield",01689 499720,"£1,200,000"
23,South Ash Road,Land for sale,12.67 miles from station,"Freehold site. Planning consent for 3 x 4 bedroom detached houses. All houses 143m2 (1543 sq ft). Semi-rural location within the green belt. 1.04 acre site (4200m2). Longfield Station 3.7 miles (6km). Easy access to A20, M20, M25.",,"Marketed by Andrew Pennell, London",020 8012 0367,"£1,200,000"
24,"Edward Road, Bromley, BR1",Land for sale,1.07 miles from station,"A premium plot of land in the most desirable location of Edward Road, with planning permission granted to build a Detached two storey 6 bedroom House with accommodation in the roof space, integral Garage and parking.",,"Marketed by Foxtons, New Homes Greater South London",020 3858 2686,"£1,200,000"
0,"St. Clere Hill Road, TN15",Land for sale,11.91 miles from station,"Acting as Vendor's Main Agent. Rare opportunity to purchase your own plot of freehold land with gated road access in the picturesque village of West Kingsdown. Close to Brands Hatch and the well known St Clere estate, this land is now available for the first time in sizeable individual parcel.",,"Marketed by Exclusive Estates & Auctioneers, London",020 8432 7330,"£25,000"
1,"(Plot 1) Tysea Hill, Stapleford Abbotts, Romford",Plot for sale,17.65 miles from station,"** INTERESTED PARTIES SHOULD BE AWARE THAT NO PLANNING HAS BEEN APPLIED FOR * An opportunity has arisen to purchase a freehold site of some 1.5 acres, located in a semi-rural position and offering three existing residential properties, two with PD rights along with over 1100 sqm of commercial bui...",,"Marketed by Keith Ashton , Kelvedon Hatch",01277 577205,"£2,400,000"
2,"White Lane, Albury, Guildford",Plot for sale,26.12 miles from station,"Within the Surrey Hills Area of Outstanding Natural Beauty, a unique position set on the slopes of Newlands Corner, with extensive southerly views, this site offers an excellent opportunity to build a substantial country house to your own specifications. Planning approved for a property of over ...",,"Marketed by house, Covering London, Surrey and Sussex",01483 660166,"£2,300,000"
3,"Manor Road, Barnet",Land for sale,19.77 miles from station,"OPPORTUNITY TO PURCHASE A PROPERYT PORTFOLIO CONSISTING OF 10 FLATS SET IN PURPOSE BUILT BLOCKS LOCATED IN THE BARNET LOCATION. SIX OF THE FLATS ARE SITUATED IN DIFFERENT BLOCKS. Initial Investment £2,300,000
Gross Rent £102,324
Gross Yield 4.83% Property Information
6 x studio apart...",,"Marketed by Spencer & Sener, Barnet",020 8012 0271,"£2,300,000"
4,"Streatley Place, Hampstead Village",Land for sale,13.76 miles from station,"Development Opportunity. Planning permission granted for new bespoke new build scheme in the heart of Hampstead Village on a pedestrianised location just off Heath Street and New End with benefit of numerous facilities of the Village including shops, restaurants, wide expansions of Hampstead Heat...",,"Marketed by Goldschmidt & Howland, Hampstead - Sales",020 8012 1279,"£2,225,000"
5,"Hainault Road, Chigwell",Plot for sale,14.97 miles from station,A unique opportunity to acquire a prime building plot complete with planning consent for the construction of a magnificent statement residence in one of Chigwell’s premier locations. The site has been cleared and is in principle ready for an immediate start. Our client has achieved a consent and ...,,"Marketed by Elliott James - Prime Residential, Loughton",020 8012 5173,"£2,200,000"
6,"Filbert Close, Hatfield, AL10",Land for sale,26.33 miles from station,RESIDENTIAL DEVELOPMENT OPPORTUNITY Outline Planning Consent for 39 dwellings For Sale by Informal Tender. Bids to be recieved by 12noon Tuesday 3rd November 2020. Site Extending to Approximately 2.28 acres (0.92ha),,"Marketed by Carter Jonas, Cambridge South",01223 787123,"£2,100,000"
7,"High Street, Canvey Island, Essex, SS8",Land for sale,26.85 miles from station,"A fantastic opportunity to purchase this unique Development in Canvey Island. Ideally located on Canvey Island High street, this development is well positioned within walking distance to the coast, and most of Canvey Islands fantastic amenities. The development is under 90 minutes by train...",,"Marketed by Stirling Ackroyd, New Homes",020 8012 3289,POA
8,"Vine Court, London",Land for sale,8.86 miles from station,"An Exciting opportunity to develop a quartet of Architect Designed Houses. Located in the heart of Whitechapel, in the middle of the much anticipated Whitechapel vision masterplan. A stones throw from Spitalfields and walking distance to the much mooted Crossrail. This oppor...",,"Marketed by CITY REALTOR LIMITED , London",020 7790 7702,POA
9,"Wimbledon Hill Road, London, SW19",Plot for sale,9.89 miles from station,"The property forms part of a terrace of retail units at the bottom of Wimbledon Hill Road, close to the town centre • Located in the heart of Wimbledon, an affluent South West London suburb • A prominent and substantial mid terrace property spread over bas...",,"Marketed by Winkworth, Putney",020 8012 4291,POA
10,"Gleneagles Close, Stanwell,, Staines Upon Thames, TW19",Land for sale,21.99 miles from station,**LAND OPPORTUNITY** SITUATED A SHORT DISTANCE FROM HEATHROW AIRPORT. THE LAND IS CURRENTLY BEING USED AS A TIMBER YARD AND A PORTION OF THE SITE IS ZONED FOR COMMERCIAL USE. UNCONDITIONAL OFFERS INVITED.,,"Marketed by Lowthers Estate Agents, Hertfordshire",020 8012 1591,POA
11,"Chiddingstone Hoath, Edenbridge, Kent",Farm land for sale,16.90 miles from station,Commercial /Agricultural Yard with much potential located on the outskirts of Edenbridge,,"Marketed by Strutt & Parker, Sevenoaks",01732 677055,"£2,000,000"
12,"Goatsmoor Lane, Billericay, Essex, CM4",Land for sale,25.48 miles from station,"Rare opportunity to purchase circa 46 acres (STLS) of prime pasture land with well stocked lake situated in the heart of the Essex countryside, yet only two miles from Billericay train station / 30 minutes to London Liverpool Street. Great investment for potential future leisure / development STP.",,"Marketed by John Hills, Billericay",01277 523888,"£1,950,000"
13,"Lower Ham Road, Kingston Upon Thames",Land for sale,14.11 miles from station,"Plot for Sale. Stack & Bonner are delighted to offer a very rare and exciting opportunity to build a brand new and unique riverside home in one of North Kingston's premier residential roads within walking distance of the town centre, Kingston train station and Canbury Gardens. This river fron...",,"Marketed by Stack & Bonner, Kingston Upon Thames",020 8012 5264,"£1,900,000"
14,"Woodland Way, Kingswood, Tadworth",Plot for sale,12.75 miles from station,"A rare opportunity to purchase this fabulous plot with planning permission for two new luxury homes. The accommodation approved for both houses consists of two reception rooms, study, open-plan kitchen/breakfast/family room, utility room, master bedroom with lounge area, dressing room and ensuite...",,"Marketed by Fine & Country, Kingswood",01737 904051,"£1,900,000"
